id,yield_class,age,average_height,dbh,taper,trees_per_ha,volume_per_ha
3,10.0,20,7.5,7.9,0.399,4254.0,62.0
3,10.0,30,12.0,12.3,0.489,2479.0,172.0
3,10.0,40,16.1,16.4,0.485,1694.0,279.0
3,10.0,50,19.6,20.1,0.476,1268.0,378.0
3,10.0,60,22.6,23.6,0.468,1007.0,467.0
3,10.0,70,25.0,26.8,0.461,835.0,544.0
3,10.0,80,27.0,29.7,0.456,716.0,610.0
3,10.0,90,28.6,32.3,0.452,630.0,665.0
3,10.0,100,29.9,34.5,0.448,566.0,712.0
3,10.0,110,30.9,36.5,0.446,519.0,750.0
3,10.0,120,31.7,38.2,0.444,484.0,781.0
3,10.0,130,32.4,39.6,0.442,458.0,807.0
3,10.0,140,32.9,40.6,0.441,440.0,829.0
3,10.0,150,33.3,41.4,0.441,429.0,847.0
3,9.0,20,6.9,7.3,0.351,4622.0,46.0
3,9.0,30,11.2,11.4,0.485,2675.0,149.0
3,9.0,40,15.1,15.4,0.487,1818.0,247.0
3,9.0,50,18.5,19.0,0.479,1355.0,338.0
3,9.0,60,21.3,22.3,0.47,1073.0,421.0
3,9.0,70,23.6,25.4,0.463,887.0,491.0
3,9.0,80,25.6,28.2,0.458,757.0,552.0
3,9.0,90,27.1,30.7,0.454,664.0,603.0
3,9.0,100,28.4,32.9,0.45,596.0,646.0
3,9.0,110,29.4,34.8,0.447,544.0,681.0
3,9.0,120,30.2,36.5,0.445,506.0,710.0
3,9.0,130,30.8,37.8,0.444,477.0,733.0
3,9.0,140,31.3,38.9,0.442,457.0,753.0
3,9.0,150,31.7,39.8,0.441,443.0,770.0
3,8.0,20,6.1,6.6,0.269,5050.0,29.0
3,8.0,30,10.2,10.6,0.478,2902.0,126.0
3,8.0,40,13.9,14.3,0.488,1961.0,216.0
3,8.0,50,17.1,17.8,0.481,1455.0,299.0
3,8.0,60,19.9,21.0,0.473,1147.0,374.0
3,8.0,70,22.2,24.0,0.466,944.0,439.0
3,8.0,80,24.0,26.6,0.46,804.0,495.0
3,8.0,90,25.5,29.1,0.455,702.0,541.0
3,8.0,100,26.8,31.2,0.452,627.0,580.0
3,8.0,110,27.7,33.1,0.449,571.0,612.0
3,8.0,120,28.5,34.7,0.446,529.0,638.0
3,8.0,130,29.1,36.2,0.445,497.0,660.0
3,8.0,140,29.6,37.3,0.443,474.0,678.0
3,8.0,150,30.0,38.1,0.442,458.0,694.0
3,7.0,20,5.5,6.0,0.152,5565.0,13.0
3,7.0,30,9.2,9.8,0.465,3172.0,100.0
3,7.0,40,12.7,13.3,0.488,2128.0,183.0
3,7.0,50,15.8,16.6,0.483,1571.0,259.0
3,7.0,60,18.4,19.7,0.475,1233.0,328.0
3,7.0,70,20.6,22.5,0.468,1011.0,387.0
3,7.0,80,22.3,25.1,0.462,857.0,438.0
3,7.0,90,23.8,27.4,0.457,746.0,480.0
3,7.0,100,25.0,29.5,0.454,664.0,516.0
3,7.0,110,25.9,31.4,0.45,602.0,545.0
3,7.0,120,26.7,33.0,0.448,555.0,569.0
3,7.0,130,27.3,34.4,0.446,520.0,589.0
3,7.0,140,27.8,35.6,0.444,494.0,605.0
3,7.0,150,28.2,36.5,0.443,476.0,620.0
3,6.0,30,8.1,9.0,0.44,3494.0,79.0
3,6.0,40,11.4,12.3,0.484,2324.0,153.0
3,6.0,50,14.2,15.5,0.484,1704.0,220.0
3,6.0,60,16.7,18.4,0.477,1330.0,282.0
3,6.0,70,18.8,21.1,0.47,1085.0,335.0
3,6.0,80,20.5,23.6,0.464,915.0,381.0
3,6.0,90,22.0,25.9,0.459,793.0,419.0
3,6.0,100,23.1,27.9,0.455,702.0,451.0
3,6.0,110,24.0,29.7,0.452,634.0,477.0
3,6.0,120,24.8,31.4,0.449,582.0,499.0
3,6.0,130,25.3,32.8,0.446,542.0,517.0
3,6.0,140,25.8,33.9,0.445,512.0,532.0
3,6.0,150,26.2,34.9,0.443,490.0,544.0
3,5.0,30,6.8,8.1,0.386,3959.0,53.0
3,5.0,40,9.7,11.2,0.474,2600.0,118.0
3,5.0,50,12.3,14.2,0.482,1890.0,177.0
3,5.0,60,14.7,16.9,0.478,1465.0,231.0
3,5.0,70,16.7,19.5,0.471,1187.0,278.0
3,5.0,80,18.3,21.9,0.466,995.0,319.0
3,5.0,90,19.6,24.1,0.461,857.0,353.0
3,5.0,100,20.8,26.1,0.456,755.0,381.0
3,5.0,110,21.7,27.9,0.453,677.0,405.0
3,5.0,120,22.4,29.5,0.45,618.0,424.0
3,5.0,130,23.0,30.9,0.447,572.0,440.0
3,5.0,140,23.4,32.1,0.445,538.0,453.0
3,5.0,150,23.8,33.1,0.443,512.0,464.0
3,4.0,30,5.3,7.1,0.268,4586.0,26.0
3,4.0,40,7.8,10.1,0.448,2963.0,83.0
3,4.0,50,10.3,12.8,0.475,2130.0,135.0
3,4.0,60,12.4,15.4,0.476,1639.0,181.0
3,4.0,70,14.3,17.9,0.472,1318.0,223.0
3,4.0,80,15.9,20.1,0.466,1098.0,258.0
3,4.0,90,17.2,22.2,0.461,940.0,288.0
3,4.0,100,18.3,24.1,0.457,823.0,313.0
3,4.0,110,19.1,25.9,0.453,734.0,334.0
3,4.0,120,19.8,27.4,0.45,666.0,351.0
3,4.0,130,20.4,28.8,0.447,614.0,365.0
3,4.0,140,20.8,30.0,0.445,573.0,377.0
3,4.0,150,21.2,31.1,0.443,542.0,387.0
4,15.0,20,7.5,11.2,0.448,2910.0,97.0
4,15.0,30,13.3,16.7,0.474,1741.0,240.0
4,15.0,40,18.8,21.7,0.468,1214.0,396.0
4,15.0,50,23.6,26.4,0.46,923.0,547.0
4,15.0,60,27.6,30.6,0.454,743.0,683.0
4,15.0,70,30.7,34.4,0.45,624.0,802.0
4,15.0,80,33.2,37.8,0.446,541.0,902.0
4,15.0,90,35.2,40.8,0.443,483.0,985.0
4,15.0,100,36.7,43.4,0.441,439.0,1051.0
4,15.0,110,37.9,45.6,0.439,408.0,1106.0
4,15.0,120,38.8,47.3,0.437,385.0,1149.0
4,15.0,130,39.4,48.7,0.436,370.0,1184.0
