tree_type,age,average_height,dbh,trees_per_ha,basal_area
coniferous,70.0,27.1,30.1,734.0,52.4
coniferous,80.0,29.4,33.3,635.0,55.1
coniferous,90.0,31.1,36.0,564.0,57.4
coniferous,100.0,32.5,38.4,511.0,59.3
coniferous,110.0,33.5,40.5,473.0,60.8
coniferous,120.0,34.3,42.2,445.0,62.1
coniferous,130.0,34.9,43.5,425.0,63.2
coniferous,140.0,35.3,44.5,412.0,64.1
coniferous,150.0,35.7,45.2,405.0,64.9
coniferous,20.0,6.2,8.7,3843.0,23.0
coniferous,30.0,11.1,13.4,2221.0,31.4
coniferous,40.0,15.8,17.7,1527.0,37.8
coniferous,50.0,19.9,21.7,1153.0,42.8
coniferous,60.0,23.2,25.4,922.0,46.8
coniferous,70.0,25.9,28.8,772.0,50.2
coniferous,80.0,28.1,31.7,667.0,52.9
coniferous,90.0,29.7,34.5,591.0,55.1
coniferous,100.0,31.0,36.8,536.0,57.0
coniferous,110.0,32.0,38.8,495.0,58.6
coniferous,120.0,32.8,40.5,465.0,59.9
coniferous,130.0,33.3,41.9,443.0,61.0
coniferous,140.0,33.8,42.9,428.0,61.9
coniferous,150.0,34.1,43.6,420.0,62.7
coniferous,20.0,5.9,8.1,4128.0,21.5
coniferous,30.0,10.6,12.6,2359.0,29.5
coniferous,40.0,15.1,16.8,1615.0,35.7
coniferous,50.0,19.0,20.6,1216.0,40.6
coniferous,60.0,22.2,24.2,972.0,44.6
